epoch,train_loss,train_f1,val_f1
1,0.0114641783936792,0.2263857502278567,0.2828407000188066
2,0.011434781516585,0.2254747417043555,0.3171993096288827
3,0.0113020087553338,0.2269407165271638,0.2736034732806502
4,0.011057656002267,0.236421440930417,0.2777943599305731
5,0.0105131723257233,0.266745387919667,0.3761182486594615
6,0.0098890001361554,0.29629328742684,0.3801481125357568
7,0.0094573047534824,0.3312711394921614,0.4204920758957377
8,0.0090533864084514,0.3499981119176287,0.4188597713977284
9,0.0086643043406882,0.3802675113677067,0.4629127126639613
10,0.0083077268981472,0.4146145418639672,0.5177587369791599
11,0.0079652120881905,0.4393023994648017,0.50333054005718
12,0.0076127208076832,0.4693258793009337,0.49765724311177
13,0.0072288678130057,0.5055057100904043,0.5775328914451617
14,0.0068415357279179,0.5434100709722054,0.6064921855796511
15,0.0064893982407453,0.5744602575947694,0.6277355655779425
16,0.006138695948389265,0.6081357409519338,0.6280493033175597
